Currenttime,Instance,Num_color,Populaiton,LS_Iter,Cross_step,fun,Spend_time
2018-04-07 05:25:36,DSJC500.5.col,49,7,10000,817,0,104.261s
2018-04-07 05:46:00,DSJC500.5.col,48,8,20000,1501,9,445.421s
2018-04-07 13:00:39,DSJC500.5.col,48,5,20000,5001,3,1305.99s
2018-04-07 19:01:55,DSJC500.5.col,48,8,20000,5001,9,1398.89s
2018-04-07 19:55:37,DSJC500.5.col,48,5,20000,5001,5,1151.28s
2018-04-07 20:24:00,DSJC500.5.col,48,10,20000,5001,10,1501.16s
2018-04-08 09:45:27,DSJC500.5.col,49,10,854000,501,8,121.128s
2018-04-08 09:53:05,DSJC500.5.col,49,10,854000,501,5,124.265s
2018-04-08 10:01:38,DSJC500.5.col,51,5,62000,151,4,5.048s
2018-04-08 10:02:53,DSJC500.5.col,51,5,62000,151,5,4.835s
2018-04-08 10:33:11,DSJC500.5.col,49,5,20000,1001,6,243.027s
2018-04-08 10:41:18,DSJC500.5.col,49,5,20000,1001,6,241.505s
2018-04-08 11:28:29,DSJC500.5.col,48,9,20000,5001,8,1457.63s
2018-04-08 15:32:41,DSJC500.5.col,49,7,10000,1205,0,156.283s
2018-04-08 19:53:08,DSJC500.5.col,48,5,25000,5001,3,1189.13s
