Currenttime,Instance,Num_color,Iter,fun,Spend_time
2018/4/2 14:53,DSJC500.1.col,12,10000000,7,30.377s
2018/4/2 15:02,DSJC500.1.col,12,153697834,0,424.782s
2018/4/2 15:11,DSJC500.5.col,50,2458391,0,15.75s
2018/4/2 15:12,DSJC500.5.col,50,4341682,0,28.089s
2018/4/2 15:12,DSJC500.5.col,50,659548,0,4.596s
2018/4/2 15:12,DSJC500.5.col,50,3550742,0,24.202s
2018/4/2 15:12,DSJC500.5.col,50,1023102,0,7.115s
2018/4/2 15:21,DSJC500.5.col,49,58038761,0,455.18s
2018/4/3 9:44,DSJC500.5.col,49,24732110,0,202.809s
2018-04-07 05:01:17,DSJC250.9.col,72,90007,0,0.508s
2018-04-07 05:01:18,DSJC250.9.col,72,90007,0,0.51s
2018-04-07 05:01:18,DSJC250.9.col,72,75011,0,0.525s
2018-04-07 05:01:19,DSJC250.9.col,72,75011,0,0.524s
2018-04-07 05:01:19,DSJC250.9.col,72,64143,0,0.511s
2018-04-07 05:01:43,DSJC250.5.col,28,1321001,0,7.392s
2018-04-07 05:02:07,DSJC250.5.col,28,4360671,0,23.923s
2018-04-07 05:02:14,DSJC250.5.col,28,1215013,0,6.828s
2018-04-07 05:02:44,DSJC250.1.col,12,121,0,0.001s
2018-04-07 05:02:44,DSJC250.1.col,12,121,0,0.001s
2018-04-07 05:02:44,DSJC250.1.col,12,121,0,0.002s
2018-04-07 05:02:44,DSJC250.1.col,12,121,0,0.002s
2018-04-07 05:02:44,DSJC250.1.col,12,121,0,0.002s
2018-04-07 05:02:58,DSJC125.1.col,5,675,0,0.001s
2018-04-07 05:02:58,DSJC125.1.col,5,675,0,0.001s
2018-04-07 05:02:58,DSJC125.1.col,5,675,0,0.002s
2018-04-07 05:02:58,DSJC125.1.col,5,675,0,0.001s
2018-04-07 05:02:58,DSJC125.1.col,5,675,0,0.001s
2018-04-07 05:04:34,DSJC500.1.col,12,20000000,5,78.079s
2018-04-07 05:05:10,DSJC500.5.col,50,839360,0,8.072s
2018-04-07 05:05:25,DSJC500.5.col,50,1582850,0,14.688s
2018-04-07 05:09:32,DSJC500.5.col,49,20000000,6,207.558s
2018-04-07 05:13:09,DSJC500.5.col,49,20000000,10,216.971s
2018-04-07 05:14:36,DSJC500.5.col,49,7790138,0,87.324s
